[2368, 20876]
[6500, 20891]
[5196, 20908]
[2116, 20918]
[3296, 20927]
[6916, 20950]
[116, 20970]
[2652, 20971]
[4620, 20973]
[10456, 20978]
[10556, 20994]
[8196, 21020]
[6368, 21033]
[2268, 21043]
[4588, 21073]
[3956, 21103]
[7372, 21122]
[252, 21139]
[456, 21153]
[684, 21167]
[684, 21189]
[684, 21211]
[3328, 21239]
[380, 21251]
[4316, 21272]
[6312, 21295]
[684, 21312]
[5244, 21322]
[2132, 21343]
[2436, 21367]
[2188, 21375]
[884, 21396]
[812, 21426]
[1352, 21445]
[6520, 21460]
[13376, 21471]
[1020, 21493]
[4248, 21500]
[6864, 21518]
[7144, 21528]
[7444, 21548]
[684, 21559]
[4668, 21584]
[3892, 21593]
[3584, 21609]
[3356, 21625]
[3112, 21651]
[1480, 21666]
[3584, 21681]
[3644, 21708]
[1336, 21714]
[4780, 21732]
[3964, 21748]
[684, 21759]
[4876, 21771]
[4860, 21796]
[408, 21806]
[6084, 21807]
[8804, 21808]
[20116, 21828]
[16364, 21841]
[1140, 21842]
[1140, 21853]
[1652, 21877]
[700, 21890]
[4600, 21895]
[516, 21923]
[960, 21941]
[3252, 21958]
[3508, 21973]
[1424, 21991]
[1092, 22015]
[156, 22022]
[1140, 22044]
[2492, 22062]
[700, 22085]
[2368, 22100]
[984, 22119]
[300, 22124]
[748, 22152]
[2124, 22178]
[1092, 22201]
[420, 22220]
[836, 22238]
[1772, 22241]
[5984, 22265]
[984, 22276]
[300, 22281]
[4968, 22282]
[6520, 22298]
[2268, 22315]
[236, 22343]
[4152, 22344]
[4968, 22352]
[5188, 22380]
[4204, 22383]
[84, 22391]
[796, 22397]
[960, 22416]
[5292, 22443]
[3508, 22447]
[860, 22452]
[924, 22459]
[960, 22478]
[2468, 22482]
[2544, 22510]
[608, 22522]
[1012, 22546]
[10252, 22562]
[6068, 22591]
[500, 22594]
[80, 22597]
[2196, 22598]
[4752, 22628]
[2992, 22652]
[2268, 22660]
[2508, 22672]
[4316, 22691]
[20368, 22706]
[17968, 22726]
[1832, 22731]
[4984, 22758]
[3736, 22778]
[2572, 22786]
[860, 22790]
[5196, 22804]
[3852, 22828]
[364, 22850]
[4220, 22852]
[4668, 22864]
[7404, 22884]
[1580, 22896]
[1852, 22903]
[2360, 22909]
[5284, 22912]
[5856, 22925]
[476, 22945]
[780, 22954]
[2172, 22983]
[892, 22991]
[3852, 23004]
[4068, 23020]
[4576, 23049]
[2016, 23067]
[716, 23071]
[528, 23078]
[1836, 23096]
[1836, 23122]
[3948, 23145]
[620, 23164]
[832, 23178]
[1068, 23188]
[4076, 23199]
[3740, 23219]
[2508, 23223]
[4200, 23236]
[6192, 23240]
[6004, 23268]
[480, 23273]
[868, 23295]
[2748, 23316]
[832, 23345]
[236, 23355]
[1196, 23362]
[4220, 23380]
[1788, 23402]
[1216, 23405]
[2424, 23426]
[324, 23456]
[60, 23464]
[24, 23469]
[1548, 23470]
[3740, 23480]
[6184, 23504]
[4992, 23512]
[3292, 23521]
[740, 23544]
[8416, 23561]
[7904, 23579]
[2132, 23584]
[2136, 23606]
[3948, 23624]
[2768, 23639]
[620, 23642]
[2608, 23654]
[324, 23675]
[2068, 23698]
[2292, 23724]
[152, 23748]
[1656, 23764]
[1324, 23783]
[1272, 23788]
[700, 23793]
[156, 23821]
[632, 23829]
[116, 23853]
[300, 23877]
[280, 23888]
[128, 23908]
[2188, 23914]
[4432, 23916]
[9628, 23931]
[8112, 23948]
[4980, 23950]
[4156, 23956]
[1400, 23970]
[504, 23990]
[3044, 24016]
[828, 24022]
[4156, 24024]
[44, 24054]
[248, 24057]
[4308, 24058]
[4492, 24086]
[2136, 24090]
[552, 24109]
[2172, 24138]
[2092, 24140]
[532, 24159]
[600, 24177]
[924, 24200]
[1992, 24227]
[372, 24246]
[1324, 24272]
[372, 24295]
[3488, 24301]
[5148, 24328]
[372, 24336]
[3452, 24342]
[3936, 24349]
[4724, 24377]
[4664, 24381]
[372, 24384]
[3764, 24386]
[6192, 24394]
[3100, 24417]
[2912, 24419]
[4808, 24444]
[372, 24461]
[4472, 24463]
[4604, 24465]
[7732, 24491]
[5916, 24498]
[280, 24504]
[2924, 24515]
[6908, 24531]
